,Feature,Importance,Importance (%)
65,mc_tx_succ_count_lifetime,0.15461947849482235,15.46
59,mc_tx_amount_succ_sum_lifetime,0.07244759924658645,7.24
75,mc_tx_succ_count_last_365d,0.06715993600968119,6.72
63,mc_tx_amount_sum_lifetime,0.06517309603078371,6.52
0,amount,0.05666224859437513,5.67
38,mc_chip_tx_succ_count_30d,0.048219553880979295,4.82
45,mc_chip_tx_amount_succ_sum_30d,0.04637764606654191,4.64
1,mc_weeks_signup,0.04090123891042641,4.09
43,mc_chip_tx_amount_local_succ_sum_15d,0.04045777637015552,4.05
57,mc_tx_amount_succ_sum_last_90d,0.0301368754534166,3.01
5,mc_billpay_br_count_last_1y,0.02812478635863274,2.81
73,mc_tx_succ_count_last_30d,0.025972572213830317,2.6
32,mc_billpay_br_count_lifetime,0.02578883618078625,2.58
46,mc_chip_tx_succ_count_7d,0.01979200285762447,1.98
25,mc_billpay_br_sum_last_1y,0.01903856544845786,1.9
50,mc_tx_amount_decl_ext_sum_lifetime,0.014259658356904827,1.43
72,mc_tx_amount_fail_sum_lifetime,0.013864634321645874,1.39
33,mc_atm_br_tx_out_count_last_15d,0.013076894501222321,1.31
86,mc_merchants_ip_count_dist_shared_last_15d,0.013030557484563087,1.3
42,mc_chip_tx_amount_local_succ_sum_7d,0.012554550833113022,1.26
24,mc_credit_transfer_out_br_count_last_1y,0.012341896768618259,1.23
15,mc_credit_transfer_out_br_count_lifetime,0.012291062661911892,1.23
10,mc_atm_br_tx_out_count_last_1y,0.010461054058100081,1.05
71,mc_tx_succ_count_last_2d,0.009847370311345726,0.98
6,mc_credit_transfer_out_br_sum_last_1y,0.008499439050958109,0.85
87,mcc_sum_succ_1y,0.007704606176663661,0.77
2,mc_atm_br_tx_out_count_lifetime,0.007627427168978225,0.76
61,mc_tx_amount_decl_int_sum_lifetime,0.005963774063639032,0.6
41,mc_chip_tx_amount_succ_sum_7d,0.005657001054648904,0.57
51,mc_tx_amount_succ_sum_last_30d,0.005553214990457599,0.56
84,mc_tx_cp_count_decl_ext_last_30d,0.005239346216986212,0.52
53,mc_tx_amount_succ_sum_last_14d,0.005099178338870155,0.51
89,mcc_count_succ_1y,0.004526257325508932,0.45
90,mcc_sum_sq_succ_1y,0.004134396751294051,0.41
21,mc_pur_br_count_lifetime,0.004114444972900793,0.41
9,mc_billpay_br_count_last_15d,0.003930828859524815,0.39
88,mcc_sum_sq_succ_30d,0.003929564905868612,0.39
47,decline_ext_rate_30d,0.0039005931014256395,0.39
58,mc_tx_amount_fail_sum_last_14d,0.0038590309297047098,0.39
14,mc_credit_transfer_in_br_sum_last_180d,0.003588268505826654,0.36
81,mc_tx_cp_sum_decl_ext_last_30d,0.003564098322941774,0.36
91,mcc_sum_succ_30d,0.0033362391288066263,0.33
36,mc_pur_br_sum_last_1y,0.003293356900853163,0.33
56,mc_tx_amount_succ_sum_last_2d,0.0031307112968891816,0.31
8,mc_pur_br_count_last_1y,0.002928233026346197,0.29
17,mc_credit_transfer_out_br_count_last_15d,0.0029238459599709977,0.29
80,mc_tx_count_decl_ext_last_30d,0.002833773250624483,0.28
20,mc_credit_transfer_in_br_sum_last_120d,0.002515297591337469,0.25
82,mc_tx_cp_count_decl_ext_last_24h,0.0025016475170790775,0.25
77,mc_tx_amount_sum_last_14d,0.002437049788073133,0.24
64,mc_tx_succ_count_last_14d,0.002343460015493265,0.23
29,mc_credit_transfer_out_br_sum_last_15d,0.002209231585225887,0.22
22,mc_credit_transfer_in_br_count_last_30d,0.00174995100696424,0.17
31,mc_credit_transfer_in_br_sum_last_15d,0.0017068896560985584,0.17
12,mc_credit_transfer_in_rounded_amounts_br_sum_last_30d,0.0016498190370797855,0.16
23,mc_credit_transfer_in_br_sum_last_90d,0.0015719036920511166,0.16
3,mc_credit_transfer_out_br_sum_last_30d,0.0014449314930841722,0.14
48,mc_tx_cp_mean_decl_ext_last_31d_mw,0.001426019881889908,0.14
94,is_person,0.0014050400390681257,0.14
35,mc_credit_transfer_in_br_sum_last_60d,0.0013240592634968082,0.13
78,mc_tx_cp_sum_decl_ext_last_24h,0.0013057205568656966,0.13
28,mc_credit_transfer_out_rounded_amounts_br_sum_last_30d,0.0012556716198990666,0.13
69,mc_tx_amount_decl_ext_sum_last_24h,0.0012249943758700704,0.12
4,mc_billpay_br_sum_last_15d,0.001126644767426579,0.11
18,mc_pur_br_count_last_15d,0.0010850015723796306,0.11
68,mc_tx_amount_decl_ext_sum_last_14d,0.0009686339976422497,0.1
76,mc_tx_succ_count_last_60m,0.0009678260424003393,0.1
74,mc_tx_amount_sum_last_2d,0.0009472935593507071,0.09
49,mc_tx_amount_sum_last_60m,0.0008896426315142167,0.09
13,mc_pur_br_sum_last_15d,0.0008024561397669032,0.08
52,mc_tx_succ_count_last_24h,0.0007646906465894335,0.08
54,mc_tx_amount_fail_sum_last_60m,0.0007329711541741784,0.07
40,mc_chip_tx_amount_local_decl_ext_sum_15d,0.0007069026951019915,0.07
66,mc_tx_amount_succ_sum_last_24h,0.0006720398864786622,0.07
62,mc_tx_amount_sum_last_24h,0.0006564303479573718,0.07
55,mc_tx_amount_succ_sum_last_60m,0.0006481213143352269,0.06
44,mc_chip_tx_amount_decl_ext_sum_30d,0.0006135390981383313,0.06
34,mc_credit_transfer_out_rounded_amounts_br_count_last_30d,0.0005152974382145334,0.05
79,mc_tx_cp_dbt_sum_sq_decl_ext_last_30d,0.00048785982671338004,0.05
93,is_mei,0.0004842803770063935,0.05
70,mc_tx_amount_decl_ext_sum_last_60m,0.0003331521499861215,0.03
85,mc_tx_cp_dbt_sum_sq_fail_last_14d,0.00027714369184338275,0.03
39,mc_chip_tx_decl_ext_count_7d,0.00018103178231055828,0.02
83,mc_tx_cp_dbt_sum_sq_fail_last_24h,0.00012983204687965166,0.01
16,mc_credit_transfer_out_br_count_sanction_last_30d,0.0,0.0
7,mc_billpay_br_count_sanction_last_30d,0.0,0.0
92,is_legal_entity,0.0,0.0
30,mc_credit_transfer_in_br_count_sanction_last_30d,0.0,0.0
26,mc_billpay_br_count_pep_br_last_30d,0.0,0.0
27,mc_credit_transfer_in_br_count_pep_br_last_30d,0.0,0.0
11,mc_sanction_count_last_2d,0.0,0.0
60,mc_tx_amount_pend_sum_last_2d,0.0,0.0
19,mc_pep_count_last_2d,0.0,0.0
67,mc_tx_amount_pend_sum_last_14d,0.0,0.0
37,mc_credit_transfer_out_br_count_pep_br_last_30d,0.0,0.0
