,Feature,Importance,Importance (%)
68,mc_tx_succ_count_last_365d,0.1133343459659574,11.33
58,mc_tx_succ_count_lifetime,0.10677106675999104,10.68
52,mc_tx_amount_succ_sum_lifetime,0.10390748959767125,10.39
56,mc_tx_amount_sum_lifetime,0.07894534402451535,7.89
1,mc_weeks_signup,0.061048971887570344,6.1
0,amount,0.06026182325912,6.03
50,mc_tx_amount_succ_sum_last_90d,0.043692270044261156,4.37
39,mc_chip_tx_amount_succ_sum_30d,0.03814401442668672,3.81
4,mc_billpay_br_count_last_1y,0.03405279683011621,3.41
32,mc_chip_tx_succ_count_30d,0.02646983784147249,2.65
27,mc_billpay_br_count_lifetime,0.02572597732634116,2.57
37,mc_chip_tx_amount_local_succ_sum_15d,0.0236129354558668,2.36
66,mc_tx_succ_count_last_30d,0.023475582360837754,2.35
40,mc_chip_tx_succ_count_7d,0.015634180249997357,1.56
28,mc_atm_br_tx_out_count_last_15d,0.015380706337706123,1.54
43,mc_tx_amount_decl_ext_sum_lifetime,0.013201016321537815,1.32
36,mc_chip_tx_amount_local_succ_sum_7d,0.012606855312649505,1.26
12,mc_credit_transfer_out_br_count_lifetime,0.011591846217193828,1.16
57,mc_tx_succ_count_last_14d,0.009973861896109402,1.0
2,mc_atm_br_tx_out_count_lifetime,0.009611561043546775,0.96
9,mc_atm_br_tx_out_count_last_1y,0.008103114564803154,0.81
54,mc_tx_amount_decl_int_sum_lifetime,0.007285691290422716,0.73
20,mc_credit_transfer_out_br_count_last_1y,0.0070885423382267485,0.71
5,mc_credit_transfer_out_br_sum_last_1y,0.0070735424847372256,0.71
8,mc_billpay_br_count_last_15d,0.006660534099409684,0.67
35,mc_chip_tx_amount_succ_sum_7d,0.006470334743173204,0.65
49,mc_tx_amount_succ_sum_last_2d,0.00571135798792257,0.57
44,mc_tx_amount_succ_sum_last_30d,0.005375286262981667,0.54
51,mc_tx_amount_fail_sum_last_14d,0.005325560422707467,0.53
65,mc_tx_amount_fail_sum_lifetime,0.005196328999810399,0.52
45,mc_tx_succ_count_last_24h,0.005171392391856442,0.52
17,mc_pur_br_count_lifetime,0.005096352686306602,0.51
80,mcc_sum_sq_succ_30d,0.005049646997706116,0.5
82,mcc_sum_sq_succ_1y,0.00496917054503586,0.5
46,mc_tx_amount_succ_sum_last_14d,0.004649583368111855,0.46
79,mcc_sum_succ_1y,0.004283532921958774,0.43
31,mc_credit_transfer_out_br_count_pep_br_last_30d,0.004091732716803026,0.41
41,decline_ext_rate_30d,0.003925640970121227,0.39
81,mcc_count_succ_1y,0.0033370373651285933,0.33
7,mc_pur_br_count_last_1y,0.003294525270955242,0.33
6,mc_billpay_br_count_sanction_last_30d,0.0032629122013405876,0.33
22,mc_credit_transfer_in_br_count_pep_br_last_30d,0.0032292620013610594,0.32
70,mc_tx_amount_sum_last_14d,0.0032018012317822945,0.32
11,mc_credit_transfer_in_br_sum_last_180d,0.0029374027865651203,0.29
83,mcc_sum_succ_30d,0.0029074563676229088,0.29
14,mc_credit_transfer_out_br_count_last_15d,0.002782714312903837,0.28
38,mc_chip_tx_amount_decl_ext_sum_30d,0.002633461149891966,0.26
24,mc_credit_transfer_out_br_sum_last_15d,0.002545040544896797,0.25
25,mc_credit_transfer_in_br_count_sanction_last_30d,0.002422913535361098,0.24
26,mc_credit_transfer_in_br_sum_last_15d,0.0023332151595807154,0.23
13,mc_credit_transfer_out_br_count_sanction_last_30d,0.002323258851283669,0.23
21,mc_billpay_br_count_pep_br_last_30d,0.002317453102587803,0.23
75,mc_tx_cp_count_decl_ext_last_24h,0.0022269436921839784,0.22
15,mc_pur_br_count_last_15d,0.0022199745558780094,0.22
74,mc_tx_cp_sum_decl_ext_last_30d,0.002061441790993091,0.21
16,mc_credit_transfer_in_br_sum_last_120d,0.0020377216398605965,0.2
18,mc_credit_transfer_in_br_count_last_30d,0.0019108383567410742,0.19
19,mc_credit_transfer_in_br_sum_last_90d,0.0017219694763179264,0.17
10,mc_credit_transfer_in_rounded_amounts_br_sum_last_30d,0.0016232393616746118,0.16
71,mc_tx_cp_sum_decl_ext_last_24h,0.0014163459843172003,0.14
3,mc_credit_transfer_out_br_sum_last_30d,0.0012955490064362506,0.13
62,mc_tx_amount_decl_ext_sum_last_24h,0.0012803606074389467,0.13
86,is_person,0.001199819801534918,0.12
77,mc_tx_cp_count_decl_ext_last_30d,0.00110976077949896,0.11
23,mc_credit_transfer_out_rounded_amounts_br_sum_last_30d,0.0010789912035755616,0.11
73,mc_tx_count_decl_ext_last_30d,0.0010715853595891834,0.11
30,mc_credit_transfer_in_br_sum_last_60d,0.0009433012889534656,0.09
61,mc_tx_amount_decl_ext_sum_last_14d,0.0008611182416733431,0.09
55,mc_tx_amount_sum_last_24h,0.0007096917099341898,0.07
64,mc_tx_succ_count_last_2d,0.0006994003505014514,0.07
67,mc_tx_amount_sum_last_2d,0.0006715976794524254,0.07
